id,date,district,locality,category,department,transcript,sentiment,sentiment_score,priority
1,2025-05-12,Alappuzha,Hospital Road,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Alappuzha district, near Hospital Road, our electricity bill this month seems unusually high and I want it checked. Kindly forward this to the concerned department.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Neutral,-0.27,Medium
2,2026-02-09,Palakkad,Ward 12,Transport,Transport Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Palakkad district, near Ward 12, the bus shelter near Ward 12 is damaged and offers no protection from rain. Kindly forward this to the concerned department.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,0.1,Medium
3,2025-08-28,Palakkad,School Lane,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Palakkad district, near School Lane, drainage on the side of the School Lane road is broken and water pools on the street. Please look into this when possible.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Neutral,-0.04,Medium
4,2025-05-16,Thiruvananthapuram,Bus Stand area,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Thiruvananthapuram district, near Bus Stand area, there has been a sudden voltage fluctuation that damaged two appliances in our house. This is causing a lot of difficulty for residents, please prioritise it.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.63,High
5,2026-04-12,Kannur,Ward 7,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Kannur district, near Ward 7, people are dumping waste illegally near Ward 7 and it is attracting stray animals. Please get this resolved as soon as possible.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Negative,-0.37,High
6,2025-01-28,Palakkad,Market Road,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Palakkad district, near Market Road, the Market Road school has been without proper toilets for 8 days, this is affecting girl students. This is causing a lot of difficulty for residents, please prioritise it.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.39,High
7,2025-01-30,Thrissur,MG Road,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Thrissur district, near MG Road, the government hospital in MG Road has been short staffed for 9 days and patients are waiting for hours. This is causing a lot of difficulty for residents, please prioritise it.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Negative,-0.69,High
8,2025-08-17,Idukki,Hospital Road,Government Documentation,Revenue Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Idukki district, near Hospital Road, there was an error in my land record at the Hospital Road revenue office that is blocking a property sale. This is causing a lot of difficulty for residents, please prioritise it.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Negative,-0.6,High
9,2025-02-22,Kottayam,School Lane,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Kottayam district, near School Lane, the School Lane school has been without proper toilets for 5 days, this is affecting girl students. We have been waiting too long, kindly expedite this.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.55,High
10,2025-08-10,Kozhikode,New Bypass,Internet Services,IT & Telecom Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Kozhikode district, near New Bypass, we are facing intermittent internet outages in New Bypass every evening. It would help if this could be addressed soon.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Neutral,-0.03,Medium
11,2025-05-18,Palakkad,Civil Station Road,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Palakkad district, near Civil Station Road, there is no streetlight and no road markings on the new stretch near Civil Station Road, accidents are increasing. Please get this resolved as soon as possible.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.61,High
12,2025-10-06,Idukki,Industrial Estate,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Idukki district, near Industrial Estate, construction debris has been left on Industrial Estate for 2 days blocking half the road. We have been waiting too long, kindly expedite this.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.36,High
13,2025-02-02,Idukki,New Bypass,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Idukki district, near New Bypass, a transformer exploded near New Bypass and the entire area has had no electricity since last night. Please send someone immediately, this cannot wait any longer.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.94,Critical
14,2026-03-16,Kannur,Ward 12,Government Documentation,Revenue Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Kannur district, near Ward 12, my income certificate application submitted at the Ward 12 office has been pending for 8 days. Please get this resolved as soon as possible.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.42,High
15,2025-04-22,Kannur,Bus Stand area,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Kannur district, near Bus Stand area, the medicine stock at the Bus Stand area dispensary seems to be running low. It would help if this could be addressed soon.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,-0.08,Medium
16,2025-06-22,Palakkad,Ward 12,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Palakkad district, near Ward 12, the meter reading at our Ward 12 residence appears to be incorrect. Please look into this when possible.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,-0.18,Medium
17,2026-03-18,Kottayam,Civil Station Road,Transport,Transport Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Kottayam district. In Kottayam, near Civil Station Road, I just wanted to thank the Transport Department team, the issue in Civil Station Road was resolved very quickly.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.68,Low
